 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_407_T0025-1.tif (red),1336.4,180.3,0.5,73.2,575,379,53.1,26.5,3.4,0.3,0.9
2,Process_407_T0025-1.tif (red),2655.3,204.6,0.8,64.8,694,416,49.7,53.4,1.2,0.8,1.0
3,Process_407_T0025-1.tif (red),1079.2,133.7,0.8,49.5,837,388,55.2,29.2,1.7,0.6,1.0
4,Process_407_T0025-1.tif (red),594.3,93.9,0.8,32.8,1019,304,106.1,22.5,1.4,0.7,1.0
5,Process_407_T0025-1.tif (red),96.8,39.5,0.8,13.2,535,343,32.2,11.2,1.1,0.9,0.9
6,Process_407_T0025-1.tif (red),669.1,105.6,0.8,37.7,555,465,36.5,24.1,1.6,0.6,0.9
7,Process_407_T0025-1.tif (red),571.8,94.6,0.8,32.9,615,448,133.0,23.7,1.4,0.7,1.0
8,Process_407_T0025-1.tif (red),2557.5,200.2,0.8,66.9,789,462,160.4,48.7,1.4,0.7,1.0
9,Process_407_T0025-1.tif (red),30.6,22.4,0.8,8.4,968,458,122.9,5.9,1.4,0.7,0.9
10,Process_407_T0025-1.tif (red),3429.0,302.8,0.5,103.3,594,733,46.6,53.3,2.3,0.4,0.8
11,Process_407_T0025-1.tif (red),1559.2,176.9,0.6,66.4,927,660,42.0,33.8,2.2,0.5,0.9
12,Process_407_T0025-1.tif (red),347.4,70.4,0.9,22.5,548,584,37.5,20.8,1.1,0.9,1.0
13,Process_407_T0025-1.tif (red),654.1,105.7,0.7,37.5,903,592,95.1,22.5,1.7,0.6,0.9
14,Process_407_T0025-1.tif (red),2011.3,199.9,0.6,61.2,446,746,5.1,47.3,1.3,0.8,0.9
15,Process_407_T0025-1.tif (red),995.7,131.6,0.7,43.4,743,745,45.8,31.4,1.3,0.8,0.9
16,Process_407_T0025-1.tif (red),1570.0,171.6,0.7,58.2,790,817,12.4,37.1,1.6,0.6,0.9
17,Process_407_T0025-1.tif (red),31.0,28.4,0.5,12.1,556,798,63.4,4.9,2.7,0.4,0.7
18,Process_407_T0025-1.tif (red),1337.1,157.6,0.7,51.1,716,873,177.7,35.6,1.3,0.8,0.9
19,Process_407_T0025-1.tif (red),596.1,103.7,0.7,37.1,620,866,21.7,22.4,1.7,0.6,0.9
20,Process_407_T0025-1.tif (red),496.9,84.2,0.9,27.1,1017,824,119.3,24.5,1.1,0.9,1.0
21,Process_407_T0025-1.tif (red),143.2,55.0,0.6,17.6,692,946,19.3,13.7,1.0,1.0,0.8
22,Process_407_T0025-1.tif (red),44.2,36.2,0.4,12.9,611,944,165.1,6.6,3.0,0.3,0.7
23,Process_407_T0025-1.tif (red),37.4,31.8,0.5,11.3,642,944,156.3,6.8,2.5,0.4,0.7
24,Process_407_T0025-1.tif (red),38.1,31.5,0.5,10.3,667,956,139.9,7.0,1.8,0.6,0.7
