 ,Label,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14456-1.jpg (red)-1,29.045,255,22.613,0.714,8.811,321,1,109.29,4.574,1.734,0.577,0.891
2,Image_14456-1.jpg (red)-1,17.116,255,15.616,0.882,5.791,335,4,111.038,3.742,1.453,0.688,0.93
3,Image_14456-1.jpg (red)-1,70.539,255,36.18,0.677,13.747,427,16,176.532,7.069,2.091,0.478,0.893
4,Image_14456-1.jpg (red)-1,141.769,255,49.057,0.74,17.144,401,7,112.834,12.629,1.224,0.817,0.899
5,Image_14456-1.jpg (red)-1,40.629,255,28.695,0.62,9.883,475,14,157.751,6.237,1.609,0.622,0.839
6,Image_14456-1.jpg (red)-1,65.698,255,31.392,0.838,11.553,351,18,149.744,7.651,1.46,0.685,0.92
7,Image_14456-1.jpg (red)-1,17.462,255,15.473,0.917,5.997,500,18,146.31,4.158,1.485,0.674,0.918
8,Image_14456-1.jpg (red)-1,45.47,255,30.258,0.624,11.311,448,31,17.103,5.875,2.196,0.455,0.842
9,Image_14456-1.jpg (red)-1,51.175,255,31.736,0.638,12.123,324,28,157.834,6.352,2.157,0.464,0.819
10,Image_14456-1.jpg (red)-1,60.857,255,29.871,0.857,10.065,511,46,38.29,8.343,1.139,0.878,0.928
11,Image_14456-1.jpg (red)-1,62.067,255,30.887,0.818,11.157,532,34,153.435,7.484,1.405,0.712,0.939
12,Image_14456-1.jpg (red)-1,32.849,255,21.74,0.873,7.644,493,30,112.38,6.199,1.175,0.851,0.903
13,Image_14456-1.jpg (red)-1,15.041,255,14.054,0.957,5.075,434,43,55.008,4.158,1.1,0.909,0.926
14,Image_14456-1.jpg (red)-1,96.299,255,39.892,0.76,14.307,190,63,54.462,9.413,1.452,0.689,0.912
15,Image_14456-1.jpg (red)-1,65.698,255,32.895,0.763,11.768,316,60,57.995,7.258,1.698,0.589,0.925
16,Image_14456-1.jpg (red)-1,42.531,255,25.226,0.84,9.381,623,56,77.196,7.056,1.301,0.769,0.899
17,Image_14456-1.jpg (red)-1,66.735,255,35.407,0.669,12.087,383,39,153.435,8.764,1.366,0.732,0.874
18,Image_14456-1.jpg (red)-1,141.078,255,54.148,0.605,18.899,238,72,50.356,12.202,1.544,0.648,0.839
19,Image_14456-1.jpg (red)-1,28.008,255,20.95,0.802,8.368,458,38,153.435,4.485,1.93,0.518,0.942
20,Image_14456-1.jpg (red)-1,16.424,255,17.338,0.687,6.361,560,45,168.69,4.822,1.242,0.805,0.819
21,Image_14456-1.jpg (red)-1,26.106,255,19.489,0.864,7.274,289,46,149.036,5.654,1.21,0.826,0.901
