 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,14.118,15.542,0.734,5.410,350,13,57.529,4.149,1.085,0.922,0.872
2,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,73.173,43.205,0.493,13.737,513,33,64.983,8.514,1.591,0.629,0.857
3,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,43.560,30.396,0.592,10.579,365,8,138.180,6.415,1.595,0.627,0.797
4,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,25.826,22.625,0.634,7.247,637,14,166.759,5.586,1.420,0.704,0.829
5,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,35.295,28.150,0.560,10.398,601,18,151.390,6.561,1.626,0.615,0.768
6,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,45.281,30.337,0.618,11.751,320,16,132.138,6.722,1.943,0.515,0.808
7,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,18.595,17.445,0.768,6.334,399,26,31.608,4.979,1.209,0.827,0.840
8,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,14.290,15.399,0.757,5.644,635,30,72.897,4.108,1.316,0.760,0.790
9,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,22.899,19.406,0.764,6.843,461,18,104.036,5.586,1.055,0.948,0.853
10,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,12.741,16.715,0.573,6.561,275,20,161.565,3.306,2.247,0.445,0.771
11,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,14.979,15.097,0.826,5.644,654,19,143.973,3.734,1.447,0.691,0.902
12,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,13.602,14.268,0.840,5.014,527,23,155.556,3.734,1.275,0.784,0.883
13,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,75.412,43.934,0.491,16.017,551,24,126.573,8.286,1.925,0.520,0.755
14,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,20.144,17.202,0.856,6.442,253,29,165.069,4.149,1.430,0.699,0.907
15,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,29.097,21.594,0.784,8.014,494,27,158.749,5.176,1.498,0.668,0.897
16,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,10.847,12.708,0.844,5.281,624,24,135.000,3.227,1.672,0.598,0.851
17,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,41.149,26.146,0.756,8.554,470,25,129.094,7.011,1.204,0.831,0.882
18,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,54.579,34.789,0.567,13.849,375,27,171.384,5.809,2.469,0.405,0.863
19,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,32.368,24.427,0.682,9.325,340,37,20.854,4.564,2.136,0.468,0.885
20,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,14.979,14.955,0.842,5.199,661,29,151.390,4.529,1.089,0.919,0.853
21,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,21.866,19.104,0.753,6.906,541,30,147.265,4.979,1.586,0.631,0.849
22,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,25.309,18.962,0.885,7.258,239,41,30.964,4.988,1.453,0.688,0.916
23,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,93.145,47.355,0.522,16.727,280,43,172.875,9.056,1.922,0.520,0.824
24,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,11.363,13.538,0.779,5.582,528,31,131.987,3.452,1.728,0.579,0.852
25,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,67.836,35.476,0.677,12.097,266,35,95.906,9.129,1.354,0.739,0.854
26,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,105.370,45.594,0.637,15.773,660,37,144.638,11.440,1.436,0.696,0.858
27,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,22.727,21.209,0.635,7.981,320,49,171.027,4.161,1.894,0.528,0.820
28,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,56.473,30.580,0.759,11.744,402,44,147.995,6.998,1.757,0.569,0.914
29,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,49.414,31.042,0.644,11.802,510,53,169.875,6.682,2.001,0.500,0.833
30,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,112.429,51.629,0.530,18.262,435,47,158.682,9.907,2.324,0.430,0.815
31,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,34.607,22.827,0.835,7.981,641,46,98.973,6.561,1.136,0.880,0.889
32,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,33.574,25.459,0.651,7.873,192,60,18.435,6.441,1.184,0.844,0.841
33,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,18.250,17.101,0.784,6.168,481,50,137.726,4.979,1.068,0.937,0.872
34,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,23.760,20.965,0.679,7.718,494,53,143.746,5.117,1.747,0.573,0.793
35,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,36.673,25.358,0.717,10.497,211,54,161.565,5.084,2.319,0.431,0.884
36,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,29.442,27.948,0.474,11.976,362,59,14.036,4.295,3.033,0.330,0.810
37,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,32.885,24.872,0.668,9.471,647,73,61.189,5.906,1.665,0.601,0.825
38,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,19.283,17.202,0.819,6.168,598,57,160.346,4.979,1.086,0.921,0.882
39,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,33.746,25.073,0.675,7.981,313,61,171.027,6.948,1.192,0.839,0.850
40,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,20.489,25.358,0.400,6.843,613,59,165.964,5.394,1.215,0.823,0.765
41,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,12.224,14.125,0.770,5.644,586,59,143.973,3.521,1.802,0.555,0.821
42,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,22.038,17.931,0.861,6.956,151,67,17.354,4.149,1.598,0.626,0.914
43,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,47.175,30.354,0.643,11.072,272,65,167.005,7.194,1.762,0.568,0.809
44,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,11.536,12.750,0.892,4.694,169,69,45.000,3.319,1.245,0.803,0.918
45,Image_14462-1.jpg (red)_after_adjusting_threshold-1.tif,31.852,25.559,0.613,9.687,353,79,43.264,6.107,1.734,0.577,0.815
