 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14119-3.tif,18.835,19.495,0.623,7.992,345,8,158.749,3.89,2.226,0.449,0.806
2,Image_14119-3.tif,25.17,21.493,0.685,8.379,367,8,110.225,4.996,1.74,0.575,0.821
3,Image_14119-3.tif,21.574,21.735,0.574,8.276,521,11,143.13,4.32,2.069,0.483,0.773
4,Image_14119-3.tif,31.848,25.974,0.593,8.161,462,12,149.534,6.134,1.211,0.825,0.863
5,Image_14119-3.tif,19.348,19.737,0.624,7.607,429,10,112.38,4.071,1.768,0.565,0.813
6,Image_14119-3.tif,19.006,18.525,0.696,7.119,294,19,125.538,3.854,2.025,0.494,0.807
7,Image_14119-3.tif,19.862,17.397,0.825,6.543,325,35,71.565,4.552,1.304,0.767,0.889
8,Image_14119-3.tif,11.986,15.156,0.656,6.025,451,29,15.945,3.111,2.246,0.445,0.782
9,Image_14119-3.tif,34.93,26.216,0.639,8.768,268,35,19.29,5.793,1.454,0.688,0.843
10,Image_14119-3.tif,27.225,27.83,0.442,9.075,517,25,133.152,5.987,1.787,0.56,0.718
11,Image_14119-3.tif,32.875,23.733,0.733,9.075,553,24,114.228,6.279,1.525,0.656,0.842
12,Image_14119-3.tif,10.958,13.743,0.729,5.395,430,28,122.471,3.444,1.571,0.637,0.837
13,Image_14119-3.tif,255.467,86.823,0.426,25.498,400,34,131.711,15.086,1.556,0.642,0.844
14,Image_14119-3.tif,50.511,30.898,0.665,10.759,242,30,112.62,8.075,1.377,0.726,0.842
15,Image_14119-3.tif,51.539,32.653,0.607,12.177,456,30,99.782,6.477,1.832,0.546,0.802
16,Image_14119-3.tif,24.828,27.386,0.416,11.142,366,31,105.068,3.402,3.941,0.254,0.763
17,Image_14119-3.tif,16.78,15.541,0.873,6.151,352,39,109.654,3.31,1.785,0.56,0.942
18,Image_14119-3.tif,16.78,16.912,0.737,6.464,535,39,140.194,4.132,1.605,0.623,0.834
19,Image_14119-3.tif,18.663,17.154,0.797,6.787,268,42,127.569,4.58,1.474,0.678,0.876
20,Image_14119-3.tif,36.642,29.686,0.523,9.253,307,48,169.695,7.034,1.208,0.828,0.773
21,Image_14119-3.tif,26.026,20.222,0.8,7.367,480,45,128.157,5.852,1.296,0.772,0.866
22,Image_14119-3.tif,20.033,17.296,0.842,6.316,552,44,121.608,4.552,1.279,0.782,0.911
23,Image_14119-3.tif,33.56,24.017,0.731,8.729,331,63,58.57,5.793,1.345,0.744,0.883
24,Image_14119-3.tif,14.725,16.811,0.655,6.477,437,47,116.565,4.215,1.598,0.626,0.789
25,Image_14119-3.tif,17.979,19.595,0.588,7.697,202,53,143.746,3.901,2.36,0.424,0.745
26,Image_14119-3.tif,22.944,19.252,0.778,7.46,631,55,160.56,4.626,1.644,0.608,0.879
27,Image_14119-3.tif,67.976,39.717,0.542,13.755,278,63,164.291,9.103,1.638,0.611,0.772
28,Image_14119-3.tif,10.445,12.331,0.863,4.718,541,58,164.745,3.265,1.576,0.635,0.865
29,Image_14119-3.tif,15.924,18.91,0.56,7.697,179,58,143.746,3.331,2.462,0.406,0.802
30,Image_14119-3.tif,17.636,20.908,0.507,8.913,351,58,111.801,2.776,3.737,0.268,0.798
31,Image_14119-3.tif,49.826,33.865,0.546,10.017,363,62,141.71,8.276,1.162,0.861,0.817
32,Image_14119-3.tif,25.341,23.148,0.594,8.276,478,59,126.87,6.331,1.213,0.825,0.779
33,Image_14119-3.tif,18.663,18.91,0.656,7.607,514,61,157.62,4.138,1.969,0.508,0.852
34,Image_14119-3.tif,26.369,25.246,0.52,9.436,577,60,142.125,4.297,2.409,0.415,0.776
