Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,,,
Image_14119-3.tif,965,30460.136,31.565,27.796,22.957,0.685,0.84,8.378,397.925,399.778,108.724,5.158,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10.102,536
,,,,,,,,,,,,,,22.47,192
,,,,,,,,,,,,,,34.837,91
,,,,,,,,,,,,,,47.204,49
,,,,,,,,,,,,,,59.571,32
,,,,,,,,,,,,,,71.939,19
,,,,,,,,,,,,,,84.306,9
,,,,,,,,,,,,,,96.673,12
,,,,,,,,,,,,,,109.041,3
,,,,,,,,,,,,,,121.408,2
,,,,,,,,,,,,,,133.775,2
,,,,,,,,,,,,,,146.142,1
,,,,,,,,,,,,,,158.51,2
,,,,,,,,,,,,,,170.877,3
,,,,,,,,,,,,,,183.244,3
,,,,,,,,,,,,,,195.612,1
,,,,,,,,,,,,,,207.979,1
,,,,,,,,,,,,,,220.346,0
,,,,,,,,,,,,,,232.714,1
,,,,,,,,,,,,,,245.081,1
,,,,,,,,,,,,,,257.448,1
,,,,,,,,,,,,,,269.815,1
,,,,,,,,,,,,,,282.183,0
,,,,,,,,,,,,,,294.55,1
,,,,,,,,,,,,,,306.917,1
,,,,,,,,,,,,,,319.285,0
,,,,,,,,,,,,,,331.652,0
,,,,,,,,,,,,,,344.019,0
,,,,,,,,,,,,,,356.386,0
,,,,,,,,,,,,,,368.754,0
,,,,,,,,,,,,,,381.121,0
,,,,,,,,,,,,,,393.488,0
,,,,,,,,,,,,,,405.856,0
,,,,,,,,,,,,,,418.223,0
,,,,,,,,,,,,,,430.59,1
