 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14482-1.jpg (red),15.496,15.684,0.792,5.644,767,172,143.973,4.564,1.201,0.833,0.865
2,Image_14482-1.jpg (red),143.765,48.143,0.779,17.274,749,205,24.102,11.734,1.344,0.744,0.925
3,Image_14482-1.jpg (red),13.946,14.024,0.891,5.065,840,192,145.008,4.149,1.069,0.935,0.880
4,Image_14482-1.jpg (red),35.984,35.073,0.368,13.548,900,222,62.650,6.250,2.610,0.383,0.651
5,Image_14482-1.jpg (red),33.229,26.188,0.609,10.045,830,196,141.710,5.753,2.106,0.475,0.808
6,Image_14482-1.jpg (red),11.363,14.854,0.647,5.394,805,207,67.380,3.646,1.685,0.593,0.776
7,Image_14482-1.jpg (red),88.669,41.202,0.656,14.308,683,233,73.142,9.744,1.512,0.661,0.784
8,Image_14482-1.jpg (red),11.536,15.198,0.628,6.334,854,200,121.608,3.060,2.412,0.415,0.807
9,Image_14482-1.jpg (red),43.043,26.289,0.783,9.471,721,229,61.189,7.250,1.210,0.826,0.871
10,Image_14482-1.jpg (red),23.243,20.479,0.696,8.554,881,209,129.094,3.900,2.328,0.430,0.854
11,Image_14482-1.jpg (red),75.240,41.671,0.544,14.278,938,242,54.462,7.436,2.003,0.499,0.812
12,Image_14482-1.jpg (red),106.231,50.146,0.531,16.566,625,233,22.068,10.139,1.880,0.532,0.783
13,Image_14482-1.jpg (red),45.798,28.795,0.694,11.049,834,213,124.287,5.868,2.228,0.449,0.855
14,Image_14482-1.jpg (red),10.503,13.195,0.758,5.644,856,214,126.027,2.783,2.190,0.457,0.884
15,Image_14482-1.jpg (red),17.734,16.170,0.852,6.482,708,217,140.194,4.546,1.489,0.672,0.912
16,Image_14482-1.jpg (red),12.741,13.337,0.900,5.199,777,224,28.610,3.320,1.510,0.662,0.925
17,Image_14482-1.jpg (red),72.141,35.962,0.701,12.990,806,219,116.565,8.444,1.588,0.630,0.858
18,Image_14482-1.jpg (red),19.283,20.420,0.581,7.247,747,220,103.241,3.734,1.960,0.510,0.865
19,Image_14482-1.jpg (red),13.774,17.302,0.578,5.779,663,231,21.038,4.529,1.413,0.708,0.711
20,Image_14482-1.jpg (red),22.383,20.035,0.701,7.054,890,227,151.928,5.047,1.357,0.737,0.805
21,Image_14482-1.jpg (red),40.633,35.476,0.406,10.045,783,239,38.290,6.699,1.328,0.753,0.814
