 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_408_T0025-1.tif (red),660.1,102.2,0.8,38.3,875,308,126.6,21.4,1.8,0.5,1.0
2,Process_408_T0025-1.tif (red),1973.1,204.7,0.6,84.5,554,325,122.4,30.1,3.0,0.3,0.9
3,Process_408_T0025-1.tif (red),255.2,59.4,0.9,20.5,685,383,31.8,16.7,1.2,0.8,1.0
4,Process_408_T0025-1.tif (red),632.9,106.1,0.7,41.7,773,386,6.3,18.0,2.4,0.4,1.0
5,Process_408_T0025-1.tif (red),869.8,117.7,0.8,40.3,736,443,156.3,27.9,1.3,0.7,1.0
6,Process_408_T0025-1.tif (red),1562.8,159.3,0.8,57.0,976,425,113.6,36.5,1.6,0.6,1.0
7,Process_408_T0025-1.tif (red),464.9,82.1,0.9,29.7,829,436,123.0,20.1,1.5,0.7,1.0
8,Process_408_T0025-1.tif (red),476.6,87.0,0.8,29.7,782,509,159.5,23.2,1.1,0.9,0.9
9,Process_408_T0025-1.tif (red),2998.7,236.6,0.7,93.6,594,493,125.8,37.5,2.5,0.4,1.0
10,Process_408_T0025-1.tif (red),2282.0,208.2,0.7,83.6,1139,704,86.6,30.0,2.8,0.4,1.0
11,Process_408_T0025-1.tif (red),1016.9,131.3,0.7,49.0,950,533,114.0,24.2,2.0,0.5,1.0
12,Process_408_T0025-1.tif (red),489.1,82.8,0.9,28.3,782,563,112.4,23.0,1.2,0.8,1.0
13,Process_408_T0025-1.tif (red),1240.3,163.2,0.6,67.4,813,626,148.9,21.4,3.2,0.3,1.0
14,Process_408_T0025-1.tif (red),559.7,95.4,0.8,32.3,522,651,142.8,25.7,1.1,0.9,1.0
15,Process_408_T0025-1.tif (red),466.4,83.1,0.8,29.9,791,664,117.3,19.6,1.5,0.7,1.0
16,Process_408_T0025-1.tif (red),1076.3,131.7,0.8,50.0,621,684,142.8,27.1,1.9,0.5,1.0
17,Process_408_T0025-1.tif (red),870.5,120.1,0.8,44.1,523,705,138.1,26.7,1.5,0.7,1.0
18,Process_408_T0025-1.tif (red),473.8,87.4,0.8,31.4,459,731,150.7,19.7,1.5,0.7,1.0
19,Process_408_T0025-1.tif (red),1032.0,122.9,0.9,44.1,919,770,125.0,29.6,1.5,0.7,1.0
20,Process_408_T0025-1.tif (red),300.8,66.9,0.8,24.4,1057,828,171.2,17.3,1.4,0.7,1.0
21,Process_408_T0025-1.tif (red),933.0,120.7,0.8,43.5,744,837,169.5,28.1,1.4,0.7,1.0
22,Process_408_T0025-1.tif (red),1865.0,172.4,0.8,63.6,599,848,148.1,36.6,1.7,0.6,1.0
23,Process_408_T0025-1.tif (red),181.5,51.4,0.9,17.5,1053,832,121.4,13.7,1.2,0.8,1.0
24,Process_408_T0025-1.tif (red),622.4,97.2,0.8,32.4,847,857,103.3,25.9,1.1,0.9,1.0
25,Process_408_T0025-1.tif (red),298.5,64.0,0.9,20.2,947,912,105.5,19.5,1.0,1.0,1.0
26,Process_408_T0025-1.tif (red),46.0,46.1,0.3,16.8,779,958,170.1,4.4,3.8,0.3,0.8
27,Process_408_T0025-1.tif (red),23.9,26.8,0.4,9.2,765,969,18.4,4.1,2.5,0.4,0.8
28,Process_408_T0025-1.tif (red),44.8,40.8,0.3,16.9,731,988,36.0,4.5,4.6,0.2,0.7
