 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_313_T0024.tif (red),723.5,108.9,0.8,39.6,876,316,24.1,23.9,1.7,0.6,0.9
2,Process_313_T0024.tif (red),2531.8,206.9,0.7,77.3,778,451,66.6,40.8,1.9,0.5,1.0
3,Process_313_T0024.tif (red),904.9,122.5,0.8,47.8,583,296,145.6,23.8,2.1,0.5,1.0
4,Process_313_T0024.tif (red),1952.6,182.0,0.7,67.1,882,344,167.5,36.5,1.9,0.5,1.0
5,Process_313_T0024.tif (red),280.0,63.5,0.9,21.2,531,364,34.6,18.4,1.1,0.9,1.0
6,Process_313_T0024.tif (red),2787.8,201.8,0.9,67.2,577,352,124.2,55.5,1.1,0.9,1.0
7,Process_313_T0024.tif (red),203.0,52.5,0.9,16.9,701,368,121.0,15.8,1.0,1.0,1.0
8,Process_313_T0024.tif (red),966.6,123.1,0.8,39.6,1056,395,150.5,34.7,1.2,0.8,0.9
9,Process_313_T0024.tif (red),461.1,83.3,0.8,27.4,840,384,100.5,22.0,1.2,0.8,0.9
10,Process_313_T0024.tif (red),377.7,71.3,0.9,22.8,902,446,63.0,21.6,1.0,1.0,1.0
11,Process_313_T0024.tif (red),207.8,54.1,0.9,18.1,514,448,58.1,14.1,1.2,0.8,1.0
12,Process_313_T0024.tif (red),2603.3,192.9,0.9,64.3,943,444,141.3,53.6,1.1,0.9,1.0
13,Process_313_T0024.tif (red),1397.5,150.8,0.8,55.2,792,479,158.8,32.9,1.7,0.6,1.0
14,Process_313_T0024.tif (red),453.7,80.3,0.9,26.3,671,491,15.6,22.8,1.1,0.9,1.0
15,Process_313_T0024.tif (red),940.2,126.0,0.7,49.4,506,485,144.6,22.7,2.2,0.5,1.0
16,Process_313_T0024.tif (red),779.9,105.1,0.9,36.0,435,542,38.5,28.9,1.3,0.8,1.0
17,Process_313_T0024.tif (red),1832.6,171.2,0.8,60.2,677,542,158.6,37.3,1.6,0.6,1.0
18,Process_313_T0024.tif (red),228.3,56.6,0.9,18.4,1075,516,125.8,16.9,1.0,1.0,1.0
19,Process_313_T0024.tif (red),544.4,90.9,0.8,33.8,821,607,53.0,20.4,1.7,0.6,1.0
20,Process_313_T0024.tif (red),934.6,116.8,0.9,40.6,597,619,40.0,29.8,1.3,0.7,1.0
21,Process_313_T0024.tif (red),1633.8,165.1,0.8,54.9,949,646,33.0,43.2,1.3,0.8,0.9
22,Process_313_T0024.tif (red),3622.5,230.0,0.9,77.1,491,743,84.7,58.5,1.3,0.8,1.0
23,Process_313_T0024.tif (red),680.4,98.1,0.9,33.8,1111,564,113.1,26.4,1.3,0.8,1.0
24,Process_313_T0024.tif (red),1723.6,157.1,0.9,50.3,881,587,98.1,44.6,1.0,1.0,1.0
25,Process_313_T0024.tif (red),821.6,108.3,0.9,35.5,670,611,125.0,31.0,1.1,0.9,1.0
26,Process_313_T0024.tif (red),338.7,70.7,0.9,24.7,1072,621,153.0,17.9,1.4,0.7,1.0
27,Process_313_T0024.tif (red),611.9,93.4,0.9,31.9,755,695,65.4,24.3,1.3,0.8,1.0
28,Process_313_T0024.tif (red),1810.1,168.1,0.8,61.8,604,773,80.7,34.4,1.8,0.6,1.0
29,Process_313_T0024.tif (red),2182.3,180.5,0.8,60.5,1008,681,143.4,48.2,1.3,0.8,1.0
30,Process_313_T0024.tif (red),199.9,52.6,0.9,17.4,1128,661,123.3,15.1,1.1,0.9,1.0
31,Process_313_T0024.tif (red),626.4,95.7,0.9,32.4,692,683,130.8,25.2,1.3,0.8,1.0
32,Process_313_T0024.tif (red),2709.7,198.2,0.9,68.3,751,773,16.2,52.1,1.3,0.8,1.0
33,Process_313_T0024.tif (red),492.8,86.6,0.8,30.3,975,720,126.1,20.8,1.5,0.7,1.0
34,Process_313_T0024.tif (red),1091.4,126.5,0.9,44.0,941,845,82.4,30.7,1.4,0.7,1.0
35,Process_313_T0024.tif (red),742.8,102.9,0.9,33.5,530,814,58.7,28.1,1.2,0.9,1.0
36,Process_313_T0024.tif (red),1223.6,140.7,0.8,52.8,611,863,53.3,30.6,1.7,0.6,1.0
37,Process_313_T0024.tif (red),784.6,108.2,0.8,37.9,1035,811,5.6,26.6,1.5,0.7,1.0
38,Process_313_T0024.tif (red),574.7,89.2,0.9,30.6,861,851,57.2,25.2,1.2,0.8,1.0
39,Process_313_T0024.tif (red),1110.2,129.1,0.8,46.4,690,801,151.1,30.4,1.5,0.7,1.0
40,Process_313_T0024.tif (red),1509.3,155.4,0.8,55.6,718,958,37.7,31.8,1.7,0.6,1.0
41,Process_313_T0024.tif (red),863.6,112.4,0.9,38.9,599,889,168.9,27.2,1.4,0.7,1.0
42,Process_313_T0024.tif (red),95.9,37.3,0.9,12.7,824,916,51.6,10.2,1.2,0.8,0.9
43,Process_313_T0024.tif (red),221.6,56.3,0.9,18.9,673,925,151.2,15.4,1.2,0.8,1.0
