 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_320_T0024-1.tif (red),370.5,72.4,0.9,24.7,693,270,73.4,18.7,1.3,0.8,1.0
2,Process_320_T0024-1.tif (red),1351.4,143.0,0.8,49.8,739,319,39.3,33.8,1.4,0.7,1.0
3,Process_320_T0024-1.tif (red),1233.4,135.5,0.8,45.3,840,338,41.3,34.5,1.3,0.8,1.0
4,Process_320_T0024-1.tif (red),608.6,92.9,0.9,32.2,601,300,14.9,24.7,1.3,0.8,1.0
5,Process_320_T0024-1.tif (red),897.9,114.2,0.9,38.7,937,336,45.9,29.4,1.3,0.8,1.0
6,Process_320_T0024-1.tif (red),976.2,120.1,0.9,42.9,655,370,52.5,28.5,1.5,0.7,1.0
7,Process_320_T0024-1.tif (red),478.5,82.0,0.9,27.7,543,321,158.0,22.0,1.2,0.8,1.0
8,Process_320_T0024-1.tif (red),673.0,97.8,0.9,32.9,933,381,19.1,26.3,1.3,0.8,1.0
9,Process_320_T0024-1.tif (red),843.0,111.1,0.9,39.4,726,339,110.3,26.5,1.5,0.7,1.0
10,Process_320_T0024-1.tif (red),1474.0,148.7,0.8,50.4,802,406,17.2,35.8,1.4,0.7,1.0
11,Process_320_T0024-1.tif (red),662.9,96.9,0.9,33.2,583,376,148.3,26.6,1.2,0.8,1.0
12,Process_320_T0024-1.tif (red),227.6,58.0,0.8,19.7,555,415,55.3,15.6,1.1,0.9,1.0
13,Process_320_T0024-1.tif (red),1408.6,144.9,0.8,50.0,1013,475,54.5,41.1,1.2,0.8,1.0
14,Process_320_T0024-1.tif (red),218.3,56.2,0.9,19.2,672,416,32.7,14.1,1.3,0.8,1.0
15,Process_320_T0024-1.tif (red),1600.9,156.0,0.8,49.5,920,517,52.8,42.4,1.1,0.9,1.0
16,Process_320_T0024-1.tif (red),1722.8,159.4,0.9,52.3,525,438,152.6,45.8,1.1,0.9,1.0
17,Process_320_T0024-1.tif (red),295.6,69.1,0.8,25.0,667,457,40.3,16.2,1.6,0.6,0.9
18,Process_320_T0024-1.tif (red),616.2,92.5,0.9,30.5,811,509,78.2,24.9,1.2,0.8,1.0
19,Process_320_T0024-1.tif (red),679.6,100.7,0.8,33.8,716,514,53.0,26.6,1.1,0.9,1.0
20,Process_320_T0024-1.tif (red),615.5,99.5,0.8,35.1,661,511,50.3,26.6,1.1,0.9,1.0
21,Process_320_T0024-1.tif (red),819.4,108.4,0.9,37.6,419,525,22.0,28.4,1.3,0.7,1.0
22,Process_320_T0024-1.tif (red),961.9,116.9,0.9,40.4,997,503,167.5,28.2,1.4,0.7,1.0
23,Process_320_T0024-1.tif (red),1586.4,155.7,0.8,54.7,789,545,173.9,34.4,1.6,0.6,1.0
24,Process_320_T0024-1.tif (red),452.0,81.4,0.9,26.2,715,517,140.8,23.1,1.1,0.9,1.0
25,Process_320_T0024-1.tif (red),489.5,83.5,0.9,29.2,980,523,112.6,21.6,1.3,0.8,1.0
26,Process_320_T0024-1.tif (red),448.0,82.0,0.8,26.5,680,525,110.1,23.2,1.1,0.9,1.0
27,Process_320_T0024-1.tif (red),470.0,81.7,0.9,27.3,577,568,13.2,21.5,1.3,0.8,1.0
28,Process_320_T0024-1.tif (red),904.6,114.6,0.9,39.4,461,585,11.5,27.2,1.4,0.7,1.0
29,Process_320_T0024-1.tif (red),2001.2,203.7,0.6,64.5,1043,619,7.8,45.3,1.6,0.6,0.9
30,Process_320_T0024-1.tif (red),1209.0,137.2,0.8,50.2,753,679,82.4,30.3,1.6,0.6,1.0
31,Process_320_T0024-1.tif (red),681.6,99.3,0.9,33.6,899,584,154.4,26.5,1.3,0.8,1.0
32,Process_320_T0024-1.tif (red),773.4,105.3,0.9,34.7,627,632,31.8,29.7,1.2,0.9,1.0
33,Process_320_T0024-1.tif (red),1526.7,153.3,0.8,54.7,558,710,78.2,33.0,1.6,0.6,1.0
34,Process_320_T0024-1.tif (red),81.4,32.8,1.0,10.8,1003,605,32.5,10.0,1.0,1.0,1.0
35,Process_320_T0024-1.tif (red),524.1,87.4,0.9,29.0,416,634,9.1,23.2,1.3,0.8,1.0
36,Process_320_T0024-1.tif (red),750.3,105.0,0.9,36.2,874,607,118.0,26.8,1.4,0.7,1.0
37,Process_320_T0024-1.tif (red),986.4,127.4,0.8,45.8,961,661,165.8,30.3,1.5,0.7,0.9
38,Process_320_T0024-1.tif (red),702.3,104.2,0.8,36.4,827,718,69.3,26.5,1.4,0.7,1.0
39,Process_320_T0024-1.tif (red),946.4,122.2,0.8,45.4,433,721,30.8,25.2,1.8,0.6,1.0
40,Process_320_T0024-1.tif (red),691.8,100.5,0.9,35.4,635,718,38.3,26.1,1.4,0.7,1.0
41,Process_320_T0024-1.tif (red),213.0,54.9,0.9,18.2,717,700,72.8,14.9,1.2,0.8,1.0
42,Process_320_T0024-1.tif (red),600.5,94.8,0.8,32.7,1099,706,12.4,24.9,1.4,0.7,1.0
43,Process_320_T0024-1.tif (red),646.3,95.5,0.9,32.5,741,717,24.9,25.8,1.3,0.8,1.0
44,Process_320_T0024-1.tif (red),958.7,121.6,0.8,44.0,965,681,97.6,27.5,1.5,0.7,1.0
45,Process_320_T0024-1.tif (red),373.6,74.8,0.8,25.7,1021,727,37.8,18.9,1.3,0.8,1.0
46,Process_320_T0024-1.tif (red),1333.5,143.0,0.8,52.1,816,753,5.0,30.7,1.7,0.6,1.0
